Source,Target,weight,timeset
CAF,ARE,0.32325211727894354,"<[2021, 2022]>"
CAF,CHN,0.27939872014941003,"<[2021, 2022]>"
CAN,USA,0.7298687501433001,"<[2021, 2022]>"
CAN,CHN,0.0524102273300037,"<[2021, 2022]>"
CHE,USA,0.16550179952607635,"<[2021, 2022]>"
CHE,DEU,0.1517853062561618,"<[2021, 2022]>"
CHL,CHN,0.39092523975528565,"<[2021, 2022]>"
CHL,USA,0.15945260315243812,"<[2021, 2022]>"
CHN,USA,0.16785399541492918,"<[2021, 2022]>"
CIV,USA,0.09841847707685003,"<[2021, 2022]>"
CIV,NLD,0.09834629670213449,"<[2021, 2022]>"
CMR,CHN,0.30084755344823105,"<[2021, 2022]>"
CMR,NLD,0.13495597888783145,"<[2021, 2022]>"
COD,CHN,0.5775425414944116,"<[2021, 2022]>"
COD,ARE,0.05950386955868949,"<[2021, 2022]>"
COG,CHN,0.45257607279403816,"<[2021, 2022]>"
COG,ARE,0.16559579846168454,"<[2021, 2022]>"
COL,USA,0.2764080614226003,"<[2021, 2022]>"
COL,CHN,0.11183385653378765,"<[2021, 2022]>"
CRI,USA,0.3437639134644396,"<[2021, 2022]>"
CRI,NLD,0.11738909783064624,"<[2021, 2022]>"
CUB,CAN,0.33250767743642706,"<[2021, 2022]>"
CUB,CHN,0.26610302124433133,"<[2021, 2022]>"
CYP,GRC,0.11958398461873514,"<[2021, 2022]>"
CZE,DEU,0.3083809461155715,"<[2021, 2022]>"
CZE,SVK,0.07364513777837717,"<[2021, 2022]>"
DEU,USA,0.08973114105387418,"<[2021, 2022]>"
DEU,CHN,0.07704170235095208,"<[2021, 2022]>"
DJI,ETH,0.49732419906888325,"<[2021, 2022]>"
DJI,CHN,0.1477830039473681,"<[2021, 2022]>"
DNK,DEU,0.14712617849288281,"<[2021, 2022]>"
DNK,SWE,0.10725317953443343,"<[2021, 2022]>"
DOM,USA,0.5304264928803378,"<[2021, 2022]>"
DOM,HTI,0.07671403085082487,"<[2021, 2022]>"
DZA,ITA,0.2327898673273159,"<[2021, 2022]>"
DZA,ESP,0.17319503175333964,"<[2021, 2022]>"
ECU,USA,0.26007935616760963,"<[2021, 2022]>"
ECU,CHN,0.17282109801288645,"<[2021, 2022]>"
EGY,IND,0.0763235528643248,"<[2021, 2022]>"
EGY,USA,0.07242125953951373,"<[2021, 2022]>"
ERI,CHN,0.5825748893553687,"<[2021, 2022]>"
ERI,ARE,0.25241911166818404,"<[2021, 2022]>"
ESH,PAK,0.524127241293897,"<[2021, 2022]>"
ESH,JPN,0.4518251348441268,"<[2021, 2022]>"
ESP,FRA,0.16039891757673685,"<[2021, 2022]>"
ESP,DEU,0.10948461067908843,"<[2021, 2022]>"
EST,FIN,0.14916044875404713,"<[2021, 2022]>"
EST,LVA,0.10687814215763569,"<[2021, 2022]>"
ETH,ARE,0.17589266432028222,"<[2021, 2022]>"
ETH,USA,0.14170456840621357,"<[2021, 2022]>"
FIN,DEU,0.13270338977453341,"<[2021, 2022]>"
FIN,SWE,0.09251475724497801,"<[2021, 2022]>"
FJI,USA,0.3266690923931644,"<[2021, 2022]>"
FJI,AUS,0.1676582048764929,"<[2021, 2022]>"
FLK,ESP,0.7604557551325479,"<[2021, 2022]>"
FLK,MAR,0.06379460298176555,"<[2021, 2022]>"
FRA,DEU,0.13488024491333708,"<[2021, 2022]>"
FRA,ITA,0.08020152790170354,"<[2021, 2022]>"
GAB,CHN,0.3909917148534059,"<[2021, 2022]>"
GAB,IND,0.15040621535597354,"<[2021, 2022]>"
GBR,USA,0.13343398252457908,"<[2021, 2022]>"
GBR,DEU,0.09347399140567991,"<[2021, 2022]>"
GEO,RUS,0.15121342029043064,"<[2021, 2022]>"
GEO,TUR,0.09718122204801381,"<[2021, 2022]>"
GHA,CHE,0.16524255809089275,"<[2021, 2022]>"
GHA,USA,0.11920781969529451,"<[2021, 2022]>"
GIN,IND,0.341316599366734,"<[2021, 2022]>"
GIN,CHN,0.2765290904961414,"<[2021, 2022]>"
GMB,CHN,0.3367213449878143,"<[2021, 2022]>"
GMB,IND,0.3040313144225772,"<[2021, 2022]>"
GNB,IND,0.8013979368619948,"<[2021, 2022]>"
GNB,PAK,0.12279541834710354,"<[2021, 2022]>"
GNQ,CHN,0.23634911651206672,"<[2021, 2022]>"
GNQ,IND,0.16626708512054741,"<[2021, 2022]>"
GRC,ITA,0.10206498912463681,"<[2021, 2022]>"
GRC,DEU,0.09664842056470983,"<[2021, 2022]>"
GRL,DNK,0.5058462573942271,"<[2021, 2022]>"
GRL,CHN,0.16650449603269796,"<[2021, 2022]>"
GTM,USA,0.3433358760055864,"<[2021, 2022]>"
GTM,SLV,0.11261402501207612,"<[2021, 2022]>"
GUY,USA,0.5150432327928405,"<[2021, 2022]>"
GUY,ARE,0.13362062906392663,"<[2021, 2022]>"
HND,USA,0.5203504706230307,"<[2021, 2022]>"
HND,SLV,0.06402775097929027,"<[2021, 2022]>"
HRV,ITA,0.1290025791417213,"<[2021, 2022]>"
HRV,DEU,0.12345837359036205,"<[2021, 2022]>"
HTI,USA,0.8268315073125526,"<[2021, 2022]>"
HTI,CAN,0.041608952896184916,"<[2021, 2022]>"
HUN,DEU,0.26105342249971697,"<[2021, 2022]>"
HUN,ITA,0.05631334963774188,"<[2021, 2022]>"
IDN,CHN,0.23689414406329096,"<[2021, 2022]>"
IDN,USA,0.1111095606835506,"<[2021, 2022]>"
IND,USA,0.20070808295489706,"<[2021, 2022]>"
IND,CHN,0.06778186454347494,"<[2021, 2022]>"
IRL,USA,0.31544896524531,"<[2021, 2022]>"
IRL,DEU,0.10545789966315103,"<[2021, 2022]>"
IRN,CHN,0.40479368143490296,"<[2021, 2022]>"
IRN,TUR,0.17522273816058176,"<[2021, 2022]>"
IRQ,CHN,0.3310693209914679,"<[2021, 2022]>"
IRQ,IND,0.31425413040272926,"<[2021, 2022]>"
ISL,NLD,0.3015869185847063,"<[2021, 2022]>"
ISL,DEU,0.11417221240212,"<[2021, 2022]>"
ISR,USA,0.28769048677622827,"<[2021, 2022]>"
ISR,CHN,0.09874815510791639,"<[2021, 2022]>"
ITA,DEU,0.13232489940202868,"<[2021, 2022]>"
ITA,FRA,0.10282736904935658,"<[2021, 2022]>"
JAM,USA,0.39331963550190885,"<[2021, 2022]>"
JAM,CAN,0.060264673068708176,"<[2021, 2022]>"
JOR,USA,0.26872990949683634,"<[2021, 2022]>"
JOR,IND,0.14208854908009366,"<[2021, 2022]>"
JPN,CHN,0.22975904636264333,"<[2021, 2022]>"
JPN,USA,0.17267564833465968,"<[2021, 2022]>"
KAZ,CHN,0.19364353583443317,"<[2021, 2022]>"
KAZ,RUS,0.12433874324619666,"<[2021, 2022]>"
KEN,UGA,0.11245010177744223,"<[2021, 2022]>"
KEN,USA,0.091916023583837,"<[2021, 2022]>"
KGZ,CHE,0.35028150139145076,"<[2021, 2022]>"
KGZ,KAZ,0.14802586894446237,"<[2021, 2022]>"
KHM,USA,0.34819620064382983,"<[2021, 2022]>"
KHM,VNM,0.11790882920470415,"<[2021, 2022]>"
KOR,CHN,0.2778774332629966,"<[2021, 2022]>"
KOR,USA,0.14435067683138836,"<[2021, 2022]>"
KWT,CHN,0.3194606257990328,"<[2021, 2022]>"
KWT,IND,0.1716515568863725,"<[2021, 2022]>"
LAO,THA,0.36537524175878017,"<[2021, 2022]>"
LAO,CHN,0.3122472509142306,"<[2021, 2022]>"
LBN,ARE,0.20723077300062387,"<[2021, 2022]>"
LBN,CHE,0.10482726392397383,"<[2021, 2022]>"
LBR,CHE,0.2001364012244809,"<[2021, 2022]>"
LBR,POL,0.1338944477760873,"<[2021, 2022]>"
LBY,ITA,0.2285406666886608,"<[2021, 2022]>"
LBY,DEU,0.11322469339024259,"<[2021, 2022]>"
LKA,USA,0.23656832049820442,"<[2021, 2022]>"
LKA,DEU,0.07014639535733033,"<[2021, 2022]>"
LSO,ZAF,0.33129398618263967,"<[2021, 2022]>"
LSO,USA,0.323487692591504,"<[2021, 2022]>"
LTU,LVA,0.09629394182571857,"<[2021, 2022]>"
LTU,DEU,0.09616287023480022,"<[2021, 2022]>"
LUX,DEU,0.22706956315192817,"<[2021, 2022]>"
LUX,FRA,0.16552293591677572,"<[2021, 2022]>"
LVA,LTU,0.19090916900649343,"<[2021, 2022]>"
LVA,EST,0.08828976879387761,"<[2021, 2022]>"
MAR,ESP,0.21893380480695146,"<[2021, 2022]>"
MAR,FRA,0.18238020385111828,"<[2021, 2022]>"
MDA,ROU,0.2365331443063405,"<[2021, 2022]>"
MDA,RUS,0.10016833826265022,"<[2021, 2022]>"
MDG,USA,0.20596102734151855,"<[2021, 2022]>"
MDG,FRA,0.190220286397443,"<[2021, 2022]>"
MEX,USA,0.7599731002465443,"<[2021, 2022]>"
MEX,CAN,0.043588466520327926,"<[2021, 2022]>"
MKD,DEU,0.45112632540317704,"<[2021, 2022]>"
MKD,SRB,0.05543004526604841,"<[2021, 2022]>"
MLI,ARE,0.7806255434333902,"<[2021, 2022]>"
MLI,CHE,0.14451818823962154,"<[2021, 2022]>"
MMR,CHN,0.37488623117068365,"<[2021, 2022]>"
MMR,THA,0.15535849759404088,"<[2021, 2022]>"
MNE,SRB,0.15635876420058392,"<[2021, 2022]>"
MNE,PAK,0.11285264317961982,"<[2021, 2022]>"
MNG,CHN,0.8287969608943762,"<[2021, 2022]>"
MNG,CHE,0.12249068955182829,"<[2021, 2022]>"
MOZ,IND,0.19183027285980753,"<[2021, 2022]>"
MOZ,CHN,0.1472762033898899,"<[2021, 2022]>"
MRT,CHN,0.4394687168883122,"<[2021, 2022]>"
MRT,ESP,0.0875814751525476,"<[2021, 2022]>"
MWI,IND,0.09226751924347233,"<[2021, 2022]>"
MWI,DEU,0.0889690042286861,"<[2021, 2022]>"
MYS,CHN,0.20954833595258798,"<[2021, 2022]>"
MYS,USA,0.1443329806036043,"<[2021, 2022]>"
NAM,ZAF,0.17458989154331253,"<[2021, 2022]>"
NAM,ZMB,0.1516055758473333,"<[2021, 2022]>"
NCL,CHN,0.542849645300213,"<[2021, 2022]>"
NCL,KOR,0.1668610129580388,"<[2021, 2022]>"
NER,ARE,0.7326465188953464,"<[2021, 2022]>"
NER,CHN,0.1046683604648899,"<[2021, 2022]>"
NGA,IND,0.1656732267216836,"<[2021, 2022]>"
NGA,ESP,0.12176060487341776,"<[2021, 2022]>"
NIC,USA,0.6021735564408572,"<[2021, 2022]>"
NIC,MEX,0.10298104559626983,"<[2021, 2022]>"
NLD,DEU,0.2065156878813518,"<[2021, 2022]>"
NLD,BEL,0.11763826799046971,"<[2021, 2022]>"
NOR,GBR,0.23706896543905517,"<[2021, 2022]>"
NOR,DEU,0.13301195854093298,"<[2021, 2022]>"
NPL,IND,0.7954084766002352,"<[2021, 2022]>"
NPL,USA,0.0729573779340214,"<[2021, 2022]>"
NZL,CHN,0.3308253408534435,"<[2021, 2022]>"
NZL,AUS,0.11872960710251033,"<[2021, 2022]>"
OMN,CHN,0.4597532631893308,"<[2021, 2022]>"
OMN,IND,0.09843769446706058,"<[2021, 2022]>"
PAK,USA,0.1949787707038484,"<[2021, 2022]>"
PAK,CHN,0.11198896331451691,"<[2021, 2022]>"
PAN,CHN,0.18279002489229199,"<[2021, 2022]>"
PAN,JPN,0.12688360325301684,"<[2021, 2022]>"
PER,CHN,0.36208078297410373,"<[2021, 2022]>"
PER,USA,0.11966728804064788,"<[2021, 2022]>"
PHL,CHN,0.20861543473327146,"<[2021, 2022]>"
PHL,USA,0.14506727608159098,"<[2021, 2022]>"
PNG,CHN,0.2581884841758564,"<[2021, 2022]>"
PNG,JPN,0.2337512269848161,"<[2021, 2022]>"
POL,DEU,0.280394741071407,"<[2021, 2022]>"
POL,CZE,0.05945961249497721,"<[2021, 2022]>"
PRK,CHN,0.3900751780075321,"<[2021, 2022]>"
PRK,POL,0.06874432259799117,"<[2021, 2022]>"
PRT,ESP,0.24184042287692822,"<[2021, 2022]>"
PRT,FRA,0.12586529290719375,"<[2021, 2022]>"
PRY,BRA,0.33252075623512156,"<[2021, 2022]>"
PRY,ARG,0.2557589300352456,"<[2021, 2022]>"
PSE,ISR,0.8599796036251012,"<[2021, 2022]>"
PSE,JOR,0.04958470649388662,"<[2021, 2022]>"
QAT,CHN,0.15618140697227553,"<[2021, 2022]>"
QAT,IND,0.1445042979062833,"<[2021, 2022]>"
ROU,DEU,0.20297569272505567,"<[2021, 2022]>"
ROU,ITA,0.09988625958218056,"<[2021, 2022]>"
RUS,CHN,0.16330390504284256,"<[2021, 2022]>"
RUS,DEU,0.058333056478085274,"<[2021, 2022]>"
RWA,ARE,0.3544852643828289,"<[2021, 2022]>"
RWA,COD,0.2119879951706441,"<[2021, 2022]>"
SAU,CHN,0.23028954800345441,"<[2021, 2022]>"
SAU,IND,0.11253955636575204,"<[2021, 2022]>"
SDN,ARE,0.5359123017562645,"<[2021, 2022]>"
SDN,CHN,0.14406763226705593,"<[2021, 2022]>"
SEN,CHE,0.16266162480745533,"<[2021, 2022]>"
SEN,IND,0.12460280865770273,"<[2021, 2022]>"
SLB,CHN,0.601238087992032,"<[2021, 2022]>"
SLB,ITA,0.07753988873949252,"<[2021, 2022]>"
SLE,CHN,0.4151138443621026,"<[2021, 2022]>"
SLE,BEL,0.16580598336892374,"<[2021, 2022]>"
SLV,USA,0.4038948117483023,"<[2021, 2022]>"
SLV,GTM,0.174847871882744,"<[2021, 2022]>"
SOM,OMN,0.37048966356924584,"<[2021, 2022]>"
SOM,ARE,0.27617079056344657,"<[2021, 2022]>"
SRB,DEU,0.12875322249772136,"<[2021, 2022]>"
SRB,ITA,0.07223007152382102,"<[2021, 2022]>"
SSD,CHN,0.6211786496941365,"<[2021, 2022]>"
SSD,ITA,0.18393160738686665,"<[2021, 2022]>"
SUR,CHE,0.5003008763932304,"<[2021, 2022]>"
SUR,ARE,0.290206088149558,"<[2021, 2022]>"
SVK,DEU,0.20879454978484233,"<[2021, 2022]>"
SVK,CZE,0.10296811866591697,"<[2021, 2022]>"
SVN,DEU,0.17971422053635983,"<[2021, 2022]>"
SVN,ITA,0.1080830833616972,"<[2021, 2022]>"
SWE,DEU,0.11030300050553951,"<[2021, 2022]>"
SWE,NOR,0.09363308188996292,"<[2021, 2022]>"
SWZ,ZAF,0.5909099259544416,"<[2021, 2022]>"
SWZ,IND,0.09513401393811091,"<[2021, 2022]>"
SYR,SAU,0.3054939373798319,"<[2021, 2022]>"
SYR,TUR,0.17584959308047188,"<[2021, 2022]>"
TCD,DEU,0.3554417664147837,"<[2021, 2022]>"
TCD,ARE,0.2553591778242436,"<[2021, 2022]>"
TGO,ARE,0.20661286251123007,"<[2021, 2022]>"
TGO,CHN,0.19084843049515207,"<[2021, 2022]>"
THA,CHN,0.16616512160790484,"<[2021, 2022]>"
THA,USA,0.16220594770744218,"<[2021, 2022]>"
TJK,KAZ,0.22293454533506574,"<[2021, 2022]>"
TJK,CHE,0.13937627449036463,"<[2021, 2022]>"
TKM,CHN,0.7574349875886219,"<[2021, 2022]>"
TKM,TUR,0.07782598142305262,"<[2021, 2022]>"
TLS,CHN,0.33994381001337226,"<[2021, 2022]>"
TTO,USA,0.4103205254228267,"<[2021, 2022]>"
TTO,BRA,0.050186235535547116,"<[2021, 2022]>"
TUN,FRA,0.26381671122281397,"<[2021, 2022]>"
TUN,ITA,0.17567085938694718,"<[2021, 2022]>"
TUR,DEU,0.09071674998807962,"<[2021, 2022]>"
TUR,USA,0.06792536365392698,"<[2021, 2022]>"
TWN,CHN,0.34267483787267666,"<[2021, 2022]>"
TWN,USA,0.13675792106522514,"<[2021, 2022]>"
TZA,IND,0.22552378065268536,"<[2021, 2022]>"
TZA,ARE,0.16983315746992772,"<[2021, 2022]>"
UGA,ARE,0.5385354997820812,"<[2021, 2022]>"
UGA,KEN,0.0820415174281857,"<[2021, 2022]>"
UKR,CHN,0.12752989329458306,"<[2021, 2022]>"
UKR,POL,0.07148655419116584,"<[2021, 2022]>"
URY,CHN,0.3064738499851153,"<[2021, 2022]>"
URY,BRA,0.16987774488944607,"<[2021, 2022]>"
USA,CAN,0.16302911099743647,"<[2021, 2022]>"
USA,MEX,0.14056079695025925,"<[2021, 2022]>"
UZB,TUR,0.1353395365899079,"<[2021, 2022]>"
UZB,RUS,0.13120125343958908,"<[2021, 2022]>"
VEN,CHN,0.2772512176287094,"<[2021, 2022]>"
VEN,TUR,0.15316866530497578,"<[2021, 2022]>"
VNM,USA,0.2706054162063568,"<[2021, 2022]>"
VNM,CHN,0.20254297006744854,"<[2021, 2022]>"
VUT,THA,0.5334725333969925,"<[2021, 2022]>"
VUT,JPN,0.17956410295183448,"<[2021, 2022]>"
YEM,THA,0.25344841699212045,"<[2021, 2022]>"
YEM,CHN,0.21559552571847884,"<[2021, 2022]>"
ZAF,CHN,0.17143066982459004,"<[2021, 2022]>"
ZAF,USA,0.10744208079872389,"<[2021, 2022]>"
ZMB,CHN,0.39240162903772385,"<[2021, 2022]>"
ZMB,CHE,0.10557199480741866,"<[2021, 2022]>"
ZWE,ARE,0.433884469040736,"<[2021, 2022]>"
ZWE,CHN,0.18209851167242713,"<[2021, 2022]>"
